Category,Question,Answer
Technology,Who founded Microsoft? (174),Bill Gates
Celebrities,Who played the lead role in Black Panther? (175),Chadwick Boseman
Celebrities,Who played the lead role in Black Panther? (176),Chadwick Boseman
Science,What planet is known as the Red Planet? (177),Mars
Culture,Which city is known as 'The Big Apple'? (178),New York City
Science,What planet is known as the Red Planet? (179),Mars
Science,What planet is known as the Red Planet? (180),Mars
Geography,What is the capital of France? (181),Paris
Sports,Which country won the FIFA World Cup in 2022? (182),Argentina
Celebrities,Who played the lead role in Black Panther? (183),Chadwick Boseman
Sports,Which country won the FIFA World Cup in 2022? (184),Argentina
Science,What planet is known as the Red Planet? (185),Mars
Culture,Which city is known as 'The Big Apple'? (186),New York City
Celebrities,Who played the lead role in Black Panther? (187),Chadwick Boseman
Technology,Who founded Microsoft? (188),Bill Gates
Technology,Who founded Microsoft? (189),Bill Gates
Technology,Who founded Microsoft? (190),Bill Gates
Geography,What is the capital of France? (191),Paris
History,What year did World War II end? (192),1945
Science,What planet is known as the Red Planet? (193),Mars
History,What year did World War II end? (194),1945
Math,What is the square root of 144? (195),12
Geography,What is the capital of France? (196),Paris
Technology,Who founded Microsoft? (197),Bill Gates
Celebrities,Who played the lead role in Black Panther? (198),Chadwick Boseman
Geography,What is the capital of France? (199),Paris
Celebrities,Who played the lead role in Black Panther? (200),Chadwick Boseman
Sports,Which country won the FIFA World Cup in 2022? (201),Argentina
Sports,Which country won the FIFA World Cup in 2022? (202),Argentina
Celebrities,Who played the lead role in Black Panther? (203),Chadwick Boseman
Technology,Who founded Microsoft? (204),Bill Gates
History,What year did World War II end? (205),1945
Science,What planet is known as the Red Planet? (206),Mars
Geography,What is the capital of France? (207),Paris
Geography,What is the capital of France? (208),Paris
Technology,Who founded Microsoft? (209),Bill Gates
Science,What planet is known as the Red Planet? (210),Mars
Sports,Which country won the FIFA World Cup in 2022? (211),Argentina
History,What year did World War II end? (212),1945
Science,What planet is known as the Red Planet? (213),Mars
Sports,Which country won the FIFA World Cup in 2022? (214),Argentina
Science,What planet is known as the Red Planet? (215),Mars
Math,What is the square root of 144? (216),12
Geography,What is the capital of France? (217),Paris
Math,What is the square root of 144? (218),12
Science,What planet is known as the Red Planet? (219),Mars
Geography,What is the capital of France? (220),Paris
History,What year did World War II end? (221),1945
Technology,Who founded Microsoft? (222),Bill Gates
Math,What is the square root of 144? (223),12
Technology,Who founded Microsoft? (224),Bill Gates
Sports,Which country won the FIFA World Cup in 2022? (225),Argentina
Sports,Which country won the FIFA World Cup in 2022? (226),Argentina
Culture,Which city is known as 'The Big Apple'? (227),New York City
Sports,Which country won the FIFA World Cup in 2022? (228),Argentina
Sports,Which country won the FIFA World Cup in 2022? (229),Argentina
Geography,What is the capital of France? (230),Paris
History,What year did World War II end? (231),1945
Sports,Which country won the FIFA World Cup in 2022? (232),Argentina
Celebrities,Who played the lead role in Black Panther? (233),Chadwick Boseman
History,What year did World War II end? (234),1945
Celebrities,Who played the lead role in Black Panther? (235),Chadwick Boseman
Celebrities,Who played the lead role in Black Panther? (236),Chadwick Boseman
Technology,Who founded Microsoft? (237),Bill Gates
Science,What planet is known as the Red Planet? (238),Mars
Celebrities,Who played the lead role in Black Panther? (239),Chadwick Boseman
Technology,Who founded Microsoft? (240),Bill Gates
Sports,Which country won the FIFA World Cup in 2022? (241),Argentina
Celebrities,Who played the lead role in Black Panther? (242),Chadwick Boseman
Science,What planet is known as the Red Planet? (243),Mars
Culture,Which city is known as 'The Big Apple'? (244),New York City
Math,What is the square root of 144? (245),12
Technology,Who founded Microsoft? (246),Bill Gates
Culture,Which city is known as 'The Big Apple'? (247),New York City
Technology,Who founded Microsoft? (248),Bill Gates
Math,What is the square root of 144? (249),12
Science,What planet is known as the Red Planet? (250),Mars
History,What year did World War II end? (251),1945
Math,What is the square root of 144? (252),12
Geography,What is the capital of France? (253),Paris
Culture,Which city is known as 'The Big Apple'? (254),New York City
Celebrities,Who played the lead role in Black Panther? (255),Chadwick Boseman
Sports,Which country won the FIFA World Cup in 2022? (256),Argentina
Geography,What is the capital of France? (257),Paris
Celebrities,Who played the lead role in Black Panther? (258),Chadwick Boseman
Celebrities,Who played the lead role in Black Panther? (259),Chadwick Boseman
Technology,Who founded Microsoft? (260),Bill Gates
Math,What is the square root of 144? (261),12
History,What year did World War II end? (262),1945
Culture,Which city is known as 'The Big Apple'? (263),New York City
Celebrities,Who played the lead role in Black Panther? (264),Chadwick Boseman
Technology,Who founded Microsoft? (265),Bill Gates
Culture,Which city is known as 'The Big Apple'? (266),New York City
Math,What is the square root of 144? (267),12
History,What year did World War II end? (268),1945
Geography,What is the capital of France? (269),Paris
Math,What is the square root of 144? (270),12
Sports,Which country won the FIFA World Cup in 2022? (271),Argentina
Math,What is the square root of 144? (272),12
Celebrities,Who played the lead role in Black Panther? (273),Chadwick Boseman
History,What year did World War II end? (274),1945
Math,What is the square root of 144? (275),12
Celebrities,Who played the lead role in Black Panther? (276),Chadwick Boseman
Celebrities,Who played the lead role in Black Panther? (277),Chadwick Boseman
History,What year did World War II end? (278),1945
Math,What is the square root of 144? (279),12
Math,What is the square root of 144? (280),12
Technology,Who founded Microsoft? (281),Bill Gates
Culture,Which city is known as 'The Big Apple'? (282),New York City
Technology,Who founded Microsoft? (283),Bill Gates
Math,What is the square root of 144? (284),12
Geography,What is the capital of France? (285),Paris
Math,What is the square root of 144? (286),12
Sports,Which country won the FIFA World Cup in 2022? (287),Argentina
Celebrities,Who played the lead role in Black Panther? (288),Chadwick Boseman
Science,What planet is known as the Red Planet? (289),Mars
Math,What is the square root of 144? (290),12
Sports,Which country won the FIFA World Cup in 2022? (291),Argentina
Sports,Which country won the FIFA World Cup in 2022? (292),Argentina
Culture,Which city is known as 'The Big Apple'? (293),New York City
History,What year did World War II end? (294),1945
Math,What is the square root of 144? (295),12
History,What year did World War II end? (296),1945
Geography,What is the capital of France? (297),Paris
Science,What planet is known as the Red Planet? (298),Mars
Sports,Which country won the FIFA World Cup in 2022? (299),Argentina
Celebrities,Who played the lead role in Black Panther? (300),Chadwick Boseman
Celebrities,Who played the lead role in Black Panther? (301),Chadwick Boseman
History,What year did World War II end? (302),1945
Sports,Which country won the FIFA World Cup in 2022? (303),Argentina
Culture,Which city is known as 'The Big Apple'? (304),New York City
History,What year did World War II end? (305),1945
Science,What planet is known as the Red Planet? (306),Mars
History,What year did World War II end? (307),1945
Sports,Which country won the FIFA World Cup in 2022? (308),Argentina
Math,What is the square root of 144? (309),12
Culture,Which city is known as 'The Big Apple'? (310),New York City
Sports,Which country won the FIFA World Cup in 2022? (311),Argentina
Culture,Which city is known as 'The Big Apple'? (312),New York City
Technology,Who founded Microsoft? (313),Bill Gates
Technology,Who founded Microsoft? (314),Bill Gates
Celebrities,Who played the lead role in Black Panther? (315),Chadwick Boseman
Culture,Which city is known as 'The Big Apple'? (316),New York City
Science,What planet is known as the Red Planet? (317),Mars
History,What year did World War II end? (318),1945
Technology,Who founded Microsoft? (319),Bill Gates
History,What year did World War II end? (320),1945
History,What year did World War II end? (321),1945
Science,What planet is known as the Red Planet? (322),Mars
Sports,Which country won the FIFA World Cup in 2022? (323),Argentina
History,What year did World War II end? (324),1945
Culture,Which city is known as 'The Big Apple'? (325),New York City
Science,What planet is known as the Red Planet? (326),Mars
Technology,Who founded Microsoft? (327),Bill Gates
Math,What is the square root of 144? (328),12
History,What year did World War II end? (329),1945
Celebrities,Who played the lead role in Black Panther? (330),Chadwick Boseman
Science,What planet is known as the Red Planet? (331),Mars
Sports,Which country won the FIFA World Cup in 2022? (332),Argentina
Geography,What is the capital of France? (333),Paris
Technology,Who founded Microsoft? (334),Bill Gates
Technology,Who founded Microsoft? (335),Bill Gates
Geography,What is the capital of France? (336),Paris
Culture,Which city is known as 'The Big Apple'? (337),New York City
Math,What is the square root of 144? (338),12
Technology,Who founded Microsoft? (339),Bill Gates
Technology,Who founded Microsoft? (340),Bill Gates
Sports,Which country won the FIFA World Cup in 2022? (341),Argentina
Technology,Who founded Microsoft? (342),Bill Gates
Science,What planet is known as the Red Planet? (343),Mars
Culture,Which city is known as 'The Big Apple'? (344),New York City
Math,What is the square root of 144? (345),12
Celebrities,Who played the lead role in Black Panther? (346),Chadwick Boseman
Math,What is the square root of 144? (347),12
Culture,Which city is known as 'The Big Apple'? (348),New York City
Science,What planet is known as the Red Planet? (349),Mars
Culture,Which city is known as 'The Big Apple'? (350),New York City
Sports,Which country won the FIFA World Cup in 2022? (351),Argentina
Celebrities,Who played the lead role in Black Panther? (352),Chadwick Boseman
Math,What is the square root of 144? (353),12
History,What year did World War II end? (354),1945
Math,What is the square root of 144? (355),12
Sports,Which country won the FIFA World Cup in 2022? (356),Argentina
Celebrities,Who played the lead role in Black Panther? (357),Chadwick Boseman
Science,What planet is known as the Red Planet? (358),Mars
Culture,Which city is known as 'The Big Apple'? (359),New York City
Culture,Which city is known as 'The Big Apple'? (360),New York City
Science,What planet is known as the Red Planet? (361),Mars
Celebrities,Who played the lead role in Black Panther? (362),Chadwick Boseman
Science,What planet is known as the Red Planet? (363),Mars
Technology,Who founded Microsoft? (364),Bill Gates
Math,What is the square root of 144? (365),12
Sports,Which country won the FIFA World Cup in 2022? (366),Argentina
Science,What planet is known as the Red Planet? (367),Mars
Sports,Which country won the FIFA World Cup in 2022? (368),Argentina
Technology,Who founded Microsoft? (369),Bill Gates
Culture,Which city is known as 'The Big Apple'? (370),New York City
Science,What planet is known as the Red Planet? (371),Mars
Celebrities,Who played the lead role in Black Panther? (372),Chadwick Boseman
Culture,Which city is known as 'The Big Apple'? (373),New York City
Culture,Which city is known as 'The Big Apple'? (374),New York City
Celebrities,Who played the lead role in Black Panther? (375),Chadwick Boseman
Math,What is the square root of 144? (376),12
Math,What is the square root of 144? (377),12
Science,What planet is known as the Red Planet? (378),Mars
Culture,Which city is known as 'The Big Apple'? (379),New York City
Science,What planet is known as the Red Planet? (380),Mars
Math,What is the square root of 144? (381),12
History,What year did World War II end? (382),1945
Technology,Who founded Microsoft? (383),Bill Gates
Science,What planet is known as the Red Planet? (384),Mars
Science,What planet is known as the Red Planet? (385),Mars
History,What year did World War II end? (386),1945
Math,What is the square root of 144? (387),12
Science,What planet is known as the Red Planet? (388),Mars
Sports,Which country won the FIFA World Cup in 2022? (389),Argentina
Math,What is the square root of 144? (390),12
Math,What is the square root of 144? (391),12
Technology,Who founded Microsoft? (392),Bill Gates
Science,What planet is known as the Red Planet? (393),Mars
Culture,Which city is known as 'The Big Apple'? (394),New York City
Geography,What is the capital of France? (395),Paris
Geography,What is the capital of France? (396),Paris
Geography,What is the capital of France? (397),Paris
Technology,Who founded Microsoft? (398),Bill Gates
Geography,What is the capital of France? (399),Paris
History,What year did World War II end? (400),1945
Celebrities,Who played the lead role in Black Panther? (401),Chadwick Boseman
Math,What is the square root of 144? (402),12
Culture,Which city is known as 'The Big Apple'? (403),New York City
Celebrities,Who played the lead role in Black Panther? (404),Chadwick Boseman
Technology,Who founded Microsoft? (405),Bill Gates
Math,What is the square root of 144? (406),12
Technology,Who founded Microsoft? (407),Bill Gates
Technology,Who founded Microsoft? (408),Bill Gates
History,What year did World War II end? (409),1945
Sports,Which country won the FIFA World Cup in 2022? (410),Argentina
Sports,Which country won the FIFA World Cup in 2022? (411),Argentina
Technology,Who founded Microsoft? (412),Bill Gates
Geography,What is the capital of France? (413),Paris
Celebrities,Who played the lead role in Black Panther? (414),Chadwick Boseman
Geography,What is the capital of France? (415),Paris
Science,What planet is known as the Red Planet? (416),Mars
Technology,Who founded Microsoft? (417),Bill Gates
Science,What planet is known as the Red Planet? (418),Mars
Geography,What is the capital of France? (419),Paris
Science,What planet is known as the Red Planet? (420),Mars
Technology,Who founded Microsoft? (421),Bill Gates
History,What year did World War II end? (422),1945
Sports,Which country won the FIFA World Cup in 2022? (423),Argentina
Celebrities,Who played the lead role in Black Panther? (424),Chadwick Boseman
Science,What planet is known as the Red Planet? (425),Mars
Technology,Who founded Microsoft? (426),Bill Gates
History,What year did World War II end? (427),1945
Geography,What is the capital of France? (428),Paris
Sports,Which country won the FIFA World Cup in 2022? (429),Argentina
Technology,Who founded Microsoft? (430),Bill Gates
Celebrities,Who played the lead role in Black Panther? (431),Chadwick Boseman
Geography,What is the capital of France? (432),Paris
History,What year did World War II end? (433),1945
Geography,What is the capital of France? (434),Paris
Culture,Which city is known as 'The Big Apple'? (435),New York City
Geography,What is the capital of France? (436),Paris
Science,What planet is known as the Red Planet? (437),Mars
Geography,What is the capital of France? (438),Paris
History,What year did World War II end? (439),1945
Geography,What is the capital of France? (440),Paris
Geography,What is the capital of France? (441),Paris
Math,What is the square root of 144? (442),12
Technology,Who founded Microsoft? (443),Bill Gates
Math,What is the square root of 144? (444),12
Geography,What is the capital of France? (445),Paris
Technology,Who founded Microsoft? (446),Bill Gates
Math,What is the square root of 144? (447),12
Geography,What is the capital of France? (448),Paris
Celebrities,Who played the lead role in Black Panther? (449),Chadwick Boseman
Math,What is the square root of 144? (450),12
Technology,Who founded Microsoft? (451),Bill Gates
Math,What is the square root of 144? (452),12
Culture,Which city is known as 'The Big Apple'? (453),New York City
Culture,Which city is known as 'The Big Apple'? (454),New York City
Celebrities,Who played the lead role in Black Panther? (455),Chadwick Boseman
History,What year did World War II end? (456),1945
History,What year did World War II end? (457),1945
Technology,Who founded Microsoft? (458),Bill Gates
Science,What planet is known as the Red Planet? (459),Mars
History,What year did World War II end? (460),1945
Technology,Who founded Microsoft? (461),Bill Gates
Celebrities,Who played the lead role in Black Panther? (462),Chadwick Boseman
Science,What planet is known as the Red Planet? (463),Mars
Science,What planet is known as the Red Planet? (464),Mars
Culture,Which city is known as 'The Big Apple'? (465),New York City
Geography,What is the capital of France? (466),Paris
Science,What planet is known as the Red Planet? (467),Mars
Sports,Which country won the FIFA World Cup in 2022? (468),Argentina
Technology,Who founded Microsoft? (469),Bill Gates
Science,What planet is known as the Red Planet? (470),Mars
Science,What planet is known as the Red Planet? (471),Mars
Sports,Which country won the FIFA World Cup in 2022? (472),Argentina
Science,What planet is known as the Red Planet? (473),Mars
Geography,What is the capital of France? (474),Paris
Sports,Which country won the FIFA World Cup in 2022? (475),Argentina
Culture,Which city is known as 'The Big Apple'? (476),New York City
Math,What is the square root of 144? (477),12
Science,What planet is known as the Red Planet? (478),Mars
Science,What planet is known as the Red Planet? (479),Mars
Technology,Who founded Microsoft? (480),Bill Gates
Geography,What is the capital of France? (481),Paris
Technology,Who founded Microsoft? (482),Bill Gates
Math,What is the square root of 144? (483),12
Science,What planet is known as the Red Planet? (484),Mars
Geography,What is the capital of France? (485),Paris
Sports,Which country won the FIFA World Cup in 2022? (486),Argentina
Science,What planet is known as the Red Planet? (487),Mars
Culture,Which city is known as 'The Big Apple'? (488),New York City
Science,What planet is known as the Red Planet? (489),Mars
History,What year did World War II end? (490),1945
Geography,What is the capital of France? (491),Paris
History,What year did World War II end? (492),1945
Sports,Which country won the FIFA World Cup in 2022? (493),Argentina
Science,What planet is known as the Red Planet? (494),Mars
Sports,Which country won the FIFA World Cup in 2022? (495),Argentina
Celebrities,Who played the lead role in Black Panther? (496),Chadwick Boseman
Science,What planet is known as the Red Planet? (497),Mars
History,What year did World War II end? (498),1945
Geography,What is the capital of France? (499),Paris
History,What year did World War II end? (500),1945
Sports,Which country won the FIFA World Cup in 2022? (501),Argentina
Math,What is the square root of 144? (502),12
Science,What planet is known as the Red Planet? (503),Mars
Culture,Which city is known as 'The Big Apple'? (504),New York City
Technology,Who founded Microsoft? (505),Bill Gates
Geography,What is the capital of France? (506),Paris
Culture,Which city is known as 'The Big Apple'? (507),New York City
Culture,Which city is known as 'The Big Apple'? (508),New York City
Science,What planet is known as the Red Planet? (509),Mars
Math,What is the square root of 144? (510),12
Science,What planet is known as the Red Planet? (511),Mars
Math,What is the square root of 144? (512),12
Celebrities,Who played the lead role in Black Panther? (513),Chadwick Boseman
Geography,What is the capital of France? (514),Paris
Sports,Which country won the FIFA World Cup in 2022? (515),Argentina
Sports,Which country won the FIFA World Cup in 2022? (516),Argentina
Culture,Which city is known as 'The Big Apple'? (517),New York City
Technology,Who founded Microsoft? (518),Bill Gates
Celebrities,Who played the lead role in Black Panther? (519),Chadwick Boseman
Sports,Which country won the FIFA World Cup in 2022? (520),Argentina
Sports,Which country won the FIFA World Cup in 2022? (521),Argentina
Technology,Who founded Microsoft? (522),Bill Gates
Technology,Who founded Microsoft? (523),Bill Gates
Sports,Which country won the FIFA World Cup in 2022? (524),Argentina
History,What year did World War II end? (525),1945
Technology,Who founded Microsoft? (526),Bill Gates
History,What year did World War II end? (527),1945
Geography,What is the capital of France? (528),Paris
Celebrities,Who played the lead role in Black Panther? (529),Chadwick Boseman
Technology,Who founded Microsoft? (530),Bill Gates
Geography,What is the capital of France? (531),Paris
Math,What is the square root of 144? (532),12
Culture,Which city is known as 'The Big Apple'? (533),New York City
History,What year did World War II end? (534),1945
Celebrities,Who played the lead role in Black Panther? (535),Chadwick Boseman
History,What year did World War II end? (536),1945
Math,What is the square root of 144? (537),12
Celebrities,Who played the lead role in Black Panther? (538),Chadwick Boseman
Sports,Which country won the FIFA World Cup in 2022? (539),Argentina
Math,What is the square root of 144? (540),12
Science,What planet is known as the Red Planet? (541),Mars
Science,What planet is known as the Red Planet? (542),Mars
Technology,Who founded Microsoft? (543),Bill Gates
Celebrities,Who played the lead role in Black Panther? (544),Chadwick Boseman
Technology,Who founded Microsoft? (545),Bill Gates
Celebrities,Who played the lead role in Black Panther? (546),Chadwick Boseman
Math,What is the square root of 144? (547),12
Celebrities,Who played the lead role in Black Panther? (548),Chadwick Boseman
Sports,Which country won the FIFA World Cup in 2022? (549),Argentina
Culture,Which city is known as 'The Big Apple'? (550),New York City
Science,What planet is known as the Red Planet? (551),Mars
Culture,Which city is known as 'The Big Apple'? (552),New York City
Celebrities,Who played the lead role in Black Panther? (553),Chadwick Boseman
Culture,Which city is known as 'The Big Apple'? (554),New York City
Sports,Which country won the FIFA World Cup in 2022? (555),Argentina
Science,What planet is known as the Red Planet? (556),Mars
Geography,What is the capital of France? (557),Paris
Celebrities,Who played the lead role in Black Panther? (558),Chadwick Boseman
Science,What planet is known as the Red Planet? (559),Mars
Culture,Which city is known as 'The Big Apple'? (560),New York City
Geography,What is the capital of France? (561),Paris
History,What year did World War II end? (562),1945
Science,What planet is known as the Red Planet? (563),Mars
History,What year did World War II end? (564),1945
Math,What is the square root of 144? (565),12
Geography,What is the capital of France? (566),Paris
Geography,What is the capital of France? (567),Paris
Science,What planet is known as the Red Planet? (568),Mars
Math,What is the square root of 144? (569),12
Culture,Which city is known as 'The Big Apple'? (570),New York City
Technology,Who founded Microsoft? (571),Bill Gates
Celebrities,Who played the lead role in Black Panther? (572),Chadwick Boseman
Math,What is the square root of 144? (573),12
Geography,What is the capital of France? (574),Paris
Technology,Who founded Microsoft? (575),Bill Gates
Geography,What is the capital of France? (576),Paris
Science,What planet is known as the Red Planet? (577),Mars
Culture,Which city is known as 'The Big Apple'? (578),New York City
Sports,Which country won the FIFA World Cup in 2022? (579),Argentina
Geography,What is the capital of France? (580),Paris
Culture,Which city is known as 'The Big Apple'? (581),New York City
History,What year did World War II end? (582),1945
Geography,What is the capital of France? (583),Paris
Technology,Who founded Microsoft? (584),Bill Gates
Culture,Which city is known as 'The Big Apple'? (585),New York City
Math,What is the square root of 144? (586),12
Culture,Which city is known as 'The Big Apple'? (587),New York City
